[2023-05-22 04:51:38.190 PM] : 	ToServer/AAAAAA - LOG,5,1684738298,test,7065,
[2023-05-22 04:51:38.193 PM] : 	ToServer/BBBBBB - LOG,8,1684738298,test,2564,
[2023-05-22 04:51:38.194 PM] : 	ToServer/CCCCC - LOG,7,1684738298,test,2268,
[2023-05-22 04:51:38.194 PM] : 	ToServer/DDDDD - LOG,9,1684738298,test,9963,
[2023-05-22 04:51:38.194 PM] : 	ToServer/EEEEE - LOG,8,1684738298,test,3516,
[2023-05-22 04:51:38.252 PM] : 	ToServer/AAAAAA - LOG,4,1684738298,test,856,
[2023-05-22 04:51:38.252 PM] : 	ToServer/BBBBBB - LOG,9,1684738298,test,7771,
[2023-05-22 04:51:38.253 PM] : 	ToServer/CCCCC - LOG,3,1684738298,test,8374,
[2023-05-22 04:51:38.253 PM] : 	ToServer/DDDDD - LOG,2,1684738298,test,4260,
[2023-05-22 04:51:38.253 PM] : 	ToServer/EEEEE - LOG,7,1684738298,test,4320,
[2023-05-22 04:51:38.304 PM] : 	ToServer/AAAAAA - LOG,5,1684738298,test,9915,
[2023-05-22 04:51:38.305 PM] : 	ToServer/BBBBBB - LOG,4,1684738298,test,4004,
[2023-05-22 04:51:38.305 PM] : 	ToServer/CCCCC - LOG,1,1684738298,test,5066,
[2023-05-22 04:51:38.305 PM] : 	ToServer/DDDDD - LOG,6,1684738298,test,6286,
[2023-05-22 04:51:38.305 PM] : 	ToServer/EEEEE - LOG,1,1684738298,test,3788,
[2023-05-22 04:51:38.355 PM] : 	ToServer/AAAAAA - LOG,6,1684738298,test,7852,
[2023-05-22 04:51:38.356 PM] : 	ToServer/BBBBBB - LOG,7,1684738298,test,3470,
[2023-05-22 04:51:38.357 PM] : 	ToServer/CCCCC - LOG,8,1684738298,test,223,
[2023-05-22 04:51:38.357 PM] : 	ToServer/DDDDD - LOG,5,1684738298,test,5633,
[2023-05-22 04:51:38.357 PM] : 	ToServer/EEEEE - LOG,3,1684738298,test,1439,
[2023-05-22 04:51:38.419 PM] : 	ToServer/AAAAAA - LOG,2,1684738298,test,8153,
[2023-05-22 04:51:38.420 PM] : 	ToServer/BBBBBB - LOG,3,1684738298,test,8589,
[2023-05-22 04:51:38.420 PM] : 	ToServer/CCCCC - LOG,9,1684738298,test,2228,
[2023-05-22 04:51:38.420 PM] : 	ToServer/DDDDD - LOG,5,1684738298,test,2104,
[2023-05-22 04:51:38.420 PM] : 	ToServer/EEEEE - LOG,7,1684738298,test,8568,
[2023-05-22 04:51:38.426 PM] : 	{"id":1843290,"dateTimeUTC":"2023-05-22T06:51:38.191Z","timestampUTC":1684738298,"deviceId":"AAAAAA","taskId":5,"logType":"test","logValue":7065,"logNote":""}
[2023-05-22 04:51:38.482 PM] : 	ToServer/AAAAAA - LOG,7,1684738298,test,7312,
[2023-05-22 04:51:38.483 PM] : 	ToServer/BBBBBB - LOG,1,1684738298,test,4682,
[2023-05-22 04:51:38.484 PM] : 	ToServer/CCCCC - LOG,7,1684738298,test,2000,
[2023-05-22 04:51:38.484 PM] : 	ToServer/DDDDD - LOG,1,1684738298,test,5452,
[2023-05-22 04:51:38.484 PM] : 	ToServer/EEEEE - LOG,8,1684738298,test,6394,
